"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
PAN413-25-P-0000 000450,,SVC Memorial Tree Relocation,No,No,< $25K,S208,561730,,CONTR,,Firm Fixed Price,11/27/2024,11/29/2024,1/6/2025,2,ACC OO,413TH CSB,USARPAC,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANROC-24-P-0000 009143,,CDAO - AI TALENT 2.0 - BOA - NODE DIGITAL,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 026406,,AMO 6510.00.00 Strategic Education Plans_02 MAR 25,,,$1M to $5M,R799,,,CONTR,,Firm Fixed Price,1/10/2025,2/12/2025,2/28/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 002356,,Prof Serv. Red Hat,,,$25K to $250K,DG10,,,PO,,Firm Fixed Price,,,12/31/2024,12,MICC,FDO EUSTIS,USMA,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN411-24-P-0000 003571,,SV/OM25_Musician/KN/ak13hkc,,,$25K to $250K,R707,,,PO,,Firm Fixed Price,2/10/2025,2/28/2025,3/18/2025,36,ACC OO,411TH CSB,AIR FORCE,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W912CH-25-F-L013,,PIF: FMS Taiwan M88A2 - AFAR,,,$25K to $250K,AC12,,,DO,,Fixed Price Level of Effort,10/1/2024,,11/29/2024,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W58RGZ-24-F-0227,,Spain In-Country Modifications Thales Radio and IT,,,$250K to $1M,1520,,,DO NEG,,Cost Plus Fixed Fee,1/30/2024,12/6/2024,4/30/2025,12,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-25-P-0000 001950,,ATEC002-1 FY25,No,No,$25K to $250K,7B20,513210,,DO,,Firm Fixed Price,11/12/2024,,,12,ACC CTRS,ACC-APG,USATEC,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 000254,,22-D-0002 GT/OWS OY3 Task Order,,,$25K to $250K,Z1NC,,,DO,,Firm Fixed Price,2/28/2025,,2/28/2025,12,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN409-25-P-0000 000300,,Occupational Clothing Laundry,,,$25K to $250K,S209,,,CONTR,,Firm Fixed Price,12/9/2024,12/23/2024,12/31/2024,12,ACC OO,409TH CSB,USAREUR-AF,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-25-P-0000 009193,,HDCSO Hotel Lodging All Towne Suites BPA,,,< $25K,V231,,,BPA,,Firm Fixed Price,,,,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 000807,,FY25 WHEEL LOADER RENTAL,,,$25K to $250K,3825,,,CONTR,,Firm Fixed Price,11/22/2024,12/5/2024,,4,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91QV1-25-R-0004,,ANC FY25 Grave Liner Recompete ,No,No,$1M to $5M,N093,238120,,CONTR,,Firm Fixed Price,12/4/2024,12/26/2024,11/29/2024,12,MICC,FDO FSH,ANC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W58RGZ-25-R-0048,,FMS Bulgaria i-RVT,No,No,$250K to $1M,1680,336413,,CONTR,,Firm Fixed Price,12/6/2024,12/20/2024,5/10/2025,TBD,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANDTA-25-P-0000 002204,,DCS GVSL Virtual Experimentation M&S FY25-01 REV00,,,$1M to $5M,UNKNOWN,,,,,,,,3/31/2025,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W91QVN-24-F-0718,,Funding TO,,,$25K to $250K,V113,,,DO,,Firm Fixed Price,,,,12,ACC OO,411TH CSB,USARPAC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-24-P-0000 012045,,"AE24088	HR-B-UCF L3Harris IDIQ",,,$250K to $1M,5810,,,DO,,Firm Fixed Price,,,12/13/2024,12,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANNWJ-23-P-0000 003103,,HRS -GEN VI - RMAS IDIQ Recompete,,,≥ $250M,N/A,,,CONTR,,Firm Fixed Price,10/4/2025,12/1/2025,7/1/2027,120,ACC CTRS,ACC-NJ,PEO ENTERPRISE,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANDTA-25-P-0000 005149,,DOIM FY25 GIS OY2,,,$25K to $250K,DA10,,,,,,,,2/8/2025,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PAN409-25-P-0000 000154,,"Maint., Repair Emergency Power Supplies_Garmisch",,,$250K to $1M,J049,,,,,,,,4/1/2025,36,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W56KGU-25-2-0034,,FY25 APEX Award - Move America,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W91RUS-25-Q-0005,W91RUS24C0008,007106SIL230062143 BASECOM,No,No,$25K to $250K,DG11,517111,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,,,3/1/2025,12,ACC CTRS,ACC-APG,USARCYBER,ACC OSBP - APG,https://osbp.apg.army.mil
PANROC-24-P-0000 009142,,CDAO - AI TALENT 2.0 - BOA - NETWORK DESIGNS,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W912CH-24-R-L096,47QRAA20D0012,NMUSA Museum Education Specialist,,,$5M to $10M,R426,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,FSS,Firm Fixed Price,12/20/2024,12/31/2024,6/1/2025,12,ACC CTRS,ACC-DTA,TRADOC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911S2-25-Q-R2EB,,TO Base Year R2E (10DEC24-09DEC25),,,$1M to $5M,J039,,,DO,,Firm Fixed Price,11/19/2024,,,12,MICC,419TH CSB,AMC: ASC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 000360,,Door Entry Control 4905 ,,,$25K to $250K,7C21,,,CONTR,,Firm Fixed Price,,,7/23/2025,12,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
W91RUS-24-R-APG1,,APG ATS and ITS recompete in ACE review,,,$50M to $100M,DG01,,,DO,,Firm Fixed Price,,,,70,ACC CTRS,ACC-APG,USARCYBER,ACC OSBP - APG,https://osbp.apg.army.mil
W9124D-25-R-0042,W9124D18D0003,7th-Phoenix-AMS-New,No,No,$10M to $25M,R408,561110,,DO,IDC,Firm Fixed Price,12/9/2024,1/8/2025,1/31/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-25-P-0000 003341,,Electrical Upgrades,,,$250K to $1M,2920,,,DO NEG,,Firm Fixed Price,,,6/27/2025,18,ACC CTRS,ACC-RI,JPEO AA,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W9124D-25-R-0004,,Barracks WiFi,,,$25K to $250K,DG11,,,CONTR,,Firm Fixed Price,6/25/2025,7/25/2025,8/6/2025,3,MICC,FDO FSH,HRC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-25-Q-11KX,,Autodesk Software Maintenance Renewal,No,No,$25K to $250K,DA10,513210,,DO NEG,,Firm Fixed Price,,,11/29/2024,12,ACC CTRS,ACC-NJ,AFC: CCDC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANDTA-25-P-0000 003124,,ABV IVS: FMS AUS (Case ULX) Gimbal Del Schedule,,,$25M to $50M,1240,,,,,,,,12/20/2024,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W9124P-24-F-0715,,Utility Div Spiral4 FY25,,,$25K to $250K,DG11,,,DO,,Firm Fixed Price,8/28/2024,,12/1/2024,36,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANRSA-23-P-0000 013248,,(PC) T2SS ES - Contract to follow 23-C-0009,,,$50M to $100M,R425,,,CONTR,,Firm Fixed Price,,,10/1/2027,12,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PAN413-25-P-0000 000625,,SUP Colored printers,,,< $25K,UNKNOWN,,,,,,,,11/25/2024,TBD,ACC OO,413TH CSB,USARPAC,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W912PB-25-R-3006,W912PB21D3023,FY25 M&R of Fire Alarms Systems ,,,$10M to $25M,J012,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,12/3/2024,1/17/2025,3/25/2025,60,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANRSA-25-P-0000 005828,,W31P4Q-21-F-0095 MOD XX-24,,,≥ $250M,AC24,,,,,,,,12/12/2024,12,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W58RGZ-25-R-0003,,NT500-01 AX4M3499AX,,,≥ $250M,2840,,,CONTR,,Firm Fixed Price,2/28/2025,3/31/2025,8/13/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W15QKN-21-D-5081 0004,,"Snow Removal - Weirton, WV (WV041) OY3 TO",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,10/4/2024,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W911NF-25-3-0001,,VT ARC new PIA umbrella,,,< $25K,N/A,,,AGMT,,Cost No Fee,,,12/6/2024,60,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 002521,,DES Latrines - PRACTICE Tharmarajah,,,$25K to $250K,UNKNOWN,,,CONTR,,Firm Fixed Price,,,,60,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-21-D-5010 0004,,"Snow Removal- Upper Marlboro, MD OY3 TO DUPLICATE",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,6/6/2025,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANROC-25-P-0000 003362,,B126 D4787A CART HANDLE MODIFICATION,,,< $25K,5340,,,PO,,Firm Fixed Price,,,1/8/2025,6,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 024098,W911S820D0012,Paving SATOC Follow-on,,,$50M to $100M,Z2LB,,,CONTR,,Firm Fixed Price,4/21/2025,5/21/2025,7/15/2025,60,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-24-P-0000 016501,47QSHA19D004B,FY26 Direct Labor Base Year,,,$50M to $100M,UNKNOWN,,,,FSS,,,,10/1/2025,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W15QKN-18-9-1008 T020,,23-07 INIT 0020,,,$25M to $50M,AC33,,,DO NEG,,Cost Plus Fixed Fee,,,,36,ACC CTRS,ACC-NJ,AFC: CCDC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W519TC-25-Q-BOOT,,CAAA FY25 Boot Truck BPA,,,$1M to $5M,8430,,,BPA,,Firm Fixed Price,1/8/2025,2/10/2025,2/28/2025,TBD,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W912CH-25-F-0076,,LCRTF - FY25 Delivery Order for 54 systems,,,$5M to $10M,3920,,,DO,,Firm Fixed Price,11/4/2024,,12/10/2024,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANORL-23-P-0000 001962,,Romania DTT Device (RO-B-UGI),,,$250K to $1M,6910,,,CONTR,,Firm Fixed Price,,,12/15/2025,36,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
W15QKN-25-F-0038,,M240B MG Payback,No,No,$5M to $10M,1005,332994,,DO,,Firm Fixed Price,12/5/2024,,12/3/2024,12,ACC CTRS,ACC-NJ,PEO SOLDIER,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANNWJ-24-P-0000 004711,,New Requirement INSCOM H2F,,,$10M to $25M,R408,,,DO NEG,,Firm Fixed Price,,,3/3/2025,48,ACC CTRS,ACC-NJ,PEO ENTERPRISE,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN411-25-P-0000 001366,,SP/ArcGIS Desktop Advanced/cn13huk,,,< $25K,3590,,,PO,,Firm Fixed Price,12/16/2024,12/23/2024,,1,ACC OO,411TH CSB,USARPAC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANROC-25-P-0000 003398,,PM AND CALIBRATION OF SALT SPRAY CHAMBER,,,< $25K,J049,,,CONTR,,Cost No Fee,,,12/20/2024,1,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANAPG-25-P-0000 002840,,81593PE    ,,,$250K to $1M,AJ11,,,,,,,,12/4/2024,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W911SA-25-Q-3027,W911SA20P3044,12135411 ID017 GROUNDS SOLICIT NEW FY25,,,$25K to $250K,S208,,SMALL BUSINESS SET ASIDE - TOTAL,PO,,Firm Fixed Price,1/16/2025,2/13/2025,4/1/2025,7,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-24-R-0113,,"EH4L0184EH 014732321 TANK,FABRIC,COLLAPS",,,$10M to $25M,5430,,,CONTR,,Firm Fixed Price,2/10/2025,3/13/2025,3/31/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 025716,W911S820P0043,McChord Postal Service 2025,No,No,$250K to $1M,R604,491110,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,12/20/2024,1/10/2025,3/1/2025,60,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W31P4Q-25-F-0037,,FY25 ICS,,,< $25K,2355,,,DO NEG,,Cost Plus Fixed Fee,,,1/30/2025,13,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W9124D-25-R-0014,W9124D24F0102,9th-Houston-AMS-New,No,No,$5M to $10M,R408,561110,,DO NEG,,Firm Fixed Price,11/7/2024,12/10/2024,12/30/2024,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91QVP-25-A-1412,,SVC Philippines - Inland Trans BPA (Epic Trans),,,$25M to $50M,V112,,,BPA,,Firm Fixed Price,11/29/2024,11/29/2024,,48,ACC OO,413TH CSB,USARPAC,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANRSA-25-P-0000 005088,,S3I 25-014==GNAT CodePeer SW Renewal,,,$25K to $250K,DA10,,,BPA,,Firm Fixed Price,2/14/2025,2/14/2025,2/14/2025,1,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PAN409-25-P-0000 001495,,PTF Option 2 Work ,,,$5M to $10M,J023,,,DO,,Firm Fixed Price,,,12/9/2024,12,ACC OO,409TH CSB,USAREUR-AF,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANNWJ-25-P-0000 000861,N0024424D0005,FirstNet Wireless Contract CID,,,$10M to $25M,DK10,,,DO NEG,IDC,Firm Fixed Price,,,8/1/2025,12,ACC CTRS,ACC-NJ,USACIDC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W56HZV-18-A-J004 0057,,SDR H0019,,,< $25K,N/A,,,DO,,Firm Fixed Price,,,,1,ACC CTRS,ACC-DTA,USAASC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911QX-25-F-0009,,COMSOL Multiphysics Software License ,,,$25K to $250K,7A20,,,DO,,Firm Fixed Price,,,1/1/2025,6,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PAN411-25-P-0000 000606,,"SV/Custodial Svc, AFH at CW(6mo Ext)DG/at23jyl",,,< $25K,S205,,,DO,,Firm Fixed Price,,,12/6/2024,6,ACC OO,411TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-24-P-0000 022255,W91QF420C0006,AMSC DL Help Desk for FY25,,,$1M to $5M,UNKNOWN,,8(A) SOLE SOURCE ,CONTR,,Firm Fixed Price,4/18/2025,5/20/2025,9/9/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 001183,,"SQUADRON-FR-TEX:5V549    ,      OCP print ",,,$25K to $250K,8305,,,PO,,Firm Fixed Price,,,2/20/2025,4,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANNWJ-25-P-0000 000334,,DOTC 2407 INIT 0001 Config Artillery ESAD,,,$5M to $10M,AC33,,,DO NEG,,Cost Plus Fixed Fee,1/24/2025,2/14/2025,12/30/2024,TBD,ACC CTRS,ACC-NJ,AFC: CCDC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANRSA-25-P-0000 005995,,P3MSC W31P4Q22D0022 Qatar SRT,,,$250K to $1M,J014,,,DO,,Cost Plus Fixed Fee,,,12/5/2024,24,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W58RGZ-24-R-0111,,PRID BB880 PARKER STARTER 01-679-5217,No,No,$10M to $25M,2995,336412,,CONTR,,Firm Fixed Price,7/31/2024,12/2/2024,5/30/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANROC-25-P-0000 002884,,BALLAST FT MOORE,,,< $25K,5610,,,PO,,Firm Fixed Price,11/21/2024,12/2/2024,1/31/2025,1,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 001033,,MCoE G-2 Cable Service Contract,,,< $25K,7G22,,,DO,,Firm Fixed Price,11/29/2024,,1/1/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 014483,W9124D22D0004,1st-Omaha-NM-New (FY 25) ,,,$250K to $1M,8970,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,3/12/2025,4/11/2025,5/30/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-25-P-0000 005067,,NGIC FY25 Tableau Creator and Prep Subscription ,,,$25K to $250K,DA10,,,DO,,Firm Fixed Price,,,3/6/2025,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PAN413-25-P-0000 000710,,Golf Cart - Kwajalein Atoll,,,$250K to $1M,2310,,,CONTR,,Firm Fixed Price,,,,1,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANORL-24-P-0000 002538,W900KK20D0007,New CTC-IS PDSS_ Base+ 4 Option Years,,,$50M to $100M,R412,,,DO NEG,IDC,Cost Plus Fixed Fee,11/21/2024,1/10/2025,3/1/2025,60,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
W911QX-25-F-0006,,Bldg. 1145A - Renovation of Pole Barn,,,$250K to $1M,Z2AZ,,,DO NEG,,Firm Fixed Price,12/2/2024,12/9/2024,12/4/2024,6,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-24-R-0195,,"EH4L0382EH 016493477 SEAT,VEHICULAR",No,No,$250K to $1M,2540,336390,,CONTR,,Firm Fixed Price,1/29/2025,2/28/2025,5/5/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-25-P-0000 001075,,CHESS purchase of 250 laptops,,,$250K to $1M,5895,,,DO NEG,,Firm Fixed Price,11/29/2024,12/2/2024,11/25/2024,6,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
W15QKN-21-D-5009 XXX5,,TO5 - OY4 PA088 SNOW - SCHUYLKILL HAVEN,,,< $25K,S218,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANRSA-25-P-0000 000978,,OIB TF LEAD P1-18 Computed Tomography Insp. System,No,No,$1M to $5M,6635,334517,,PO,,Firm Fixed Price,12/13/2024,1/13/2025,,12,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANRSA-25-P-0000 004678,,UHBH 60M MRB TRB Skins Phase II,,,$5M to $10M,1520,,,,,,,,2/7/2025,TBD,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W58RGZ-25-F-0045,,5th TO - CH-47 Engine Enhancement Program (2024),,,$1M to $5M,R425,,,DO,,Cost Plus Fixed Fee,9/3/2024,,12/20/2024,24,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W911RX-25-Q-2532,,NTC 25-03 4x4 Truck and 15-Passenger Vans Rail hea,,,< $25K,W023,,,CONTR,,Firm Fixed Price,11/15/2024,,12/6/2024,1,MICC,418TH CSB,FORSCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-24-P-0000 014501,,Boeing H64 Parts 9,No,No,$25K to $250K,1560,336413,,CONTR,,Firm Fixed Price,11/29/2024,12/12/2024,12/13/2024,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANROC-24-P-0000 009103,,CDAO - AI TALENT 2.0 - BOA - ASSYST,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W912CH-24-R-0209,,"EH4L0191EH TOOL KIT,CARPENTER",,,$1M to $5M,5180,,,CONTR,,Firm Fixed Price,2/11/2025,3/13/2025,12/18/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANRSA-24-P-0000 005525,,AGSE_FVL / AGSE Study and Analysis RFI,,,$1M to $5M,1730,,,CONTR,,Cost Plus Fixed Fee,,,8/28/2025,TBD,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W911SA-25-Q-1010,,PR 0012210509 Camp Bullis Meals,,,< $25K,8940,,,CONTR,,Firm Fixed Price,11/20/2024,12/4/2024,1/4/2025,1,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 009159,,CDAO - AI TALENT 2.0 - BOA - TIAG,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANRSA-25-P-0000 005894,,ELECTRICAL CONNECTOR BPA FSC: 5935,,,< $25K,5935,,,DO,,Firm Fixed Price,12/16/2024,12/23/2024,12/3/2024,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANROC-24-P-0000 006750,W52P1J1995203,"Oracle IL 4, 5 and 6 Compute and Store ",No,No,$100M to $250M,DB10,518210,,DO NEG,,Firm Fixed Price,12/2/2024,12/2/2024,2/3/2025,46,ACC CTRS,ACC-RI,"HQ, DA",ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W15QKN-18-9-1008 0005,,24-06 INIT0005 155mm Artillery Propulsion Moderniz,,,$25M to $50M,R425,,,DO NEG,,Cost Plus Fixed Fee,9/30/2024,,,36,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-24-P-0000 019696,,FY25 Telescoping Mast Platforms Service,No,No,$250K to $1M,J017,811310,,CONTR,,Firm Fixed Price,12/26/2024,1/22/2025,,12,MICC,418TH CSB,AIR FORCE,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 021950,,PCC5 Mobile Kitchen units and Field Feeding Svcs,,,$1M to $5M,S203,,,CONTR,,Firm Fixed Price,12/9/2024,1/9/2025,1/16/2025,3,MICC,418TH CSB,"HQ, AFC",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
